"Table 102.30. Median household income, by state: Selected years, 1990 through 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[In constant 2018 dollars. Standard errors appear in parentheses],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990\1\,2000\2\,2005 ,,2010 ,,2014,,2015,,2016,,2017,,2018,,,,,,,,,,,,,,,,
 1 ,2,3,4,,5,,6,,7,,8,,9,,10,,,,,,,,,,,,,,,, 
   United States,"$58,900","$63,500","$59,600",(80),"$57,800",(40),"$57,000",(60),"$59,100",(50),"$60,300",(70),"$61,800",(50),"$61,900",(60),,,,,,,,,,,,,,,
Alabama ,"46,300","51,600","47,500",(410),"46,700",(330),"45,500",(390),"47,400",(480),"48,400",(430),"49,300",(480),"49,900",(480),,,,,,,,,,,,,,,
Alaska,"81,200","78,000","72,500","(1,420)","74,500","(1,460)","76,000","(1,150)","77,700","(1,490)","80,000","(1,420)","75,000","(1,640)","74,300","(1,390)",,,,,,,,,,,,,,,
Arizona ,"54,000","61,300","57,100",(510),"54,000",(370),"53,200",(310),"54,600",(280),"56,000",(400),"58,000",(320),"59,200",(440),,,,,,,,,,,,,,,
Arkansas,"41,500","48,700","45,100",(470),"44,200",(450),"43,800",(420),"44,500",(310),"46,400",(590),"47,000",(470),"47,100",(430),,,,,,,,,,,,,,,
California,"70,200","71,800","69,100",(250),"66,600",(250),"65,800",(150),"68,400",(250),"70,900",(230),"73,600",(180),"75,300",(190),,,,,,,,,,,,,,,
Colorado ,"59,100","71,400","65,300",(430),"62,400",(510),"65,100",(310),"67,700",(570),"68,700",(400),"70,800",(490),"72,000",(400),,,,,,,,,,,,,,,
Connecticut ,"81,800","81,500","78,500",(640),"73,900",(770),"74,400",(530),"75,600",(500),"76,800",(670),"76,000",(840),"76,300",(560),,,,,,,,,,,,,,,
Delaware ,"68,400","71,600","67,700","(1,110)","64,500","(1,050)","63,400","(1,080)","64,900",(830),"64,600",(950),"64,400","(1,530)","64,800",(950),,,,,,,,,,,,,,,
District of Columbia,"60,200","60,700","60,900","(1,520)","70,300","(1,080)","76,100","(1,290)","80,200","(1,610)","79,000","(2,170)","84,400","(1,650)","85,200","(2,080)",,,,,,,,,,,,,,,
Florida ,"53,900","58,700","54,700",(210),"51,300",(230),"50,400",(210),"52,400",(210),"53,200",(150),"53,900",(230),"55,500",(230),,,,,,,,,,,,,,,
Georgia ,"56,900","64,200","58,800",(340),"53,600",(330),"52,400",(350),"54,300",(240),"56,000",(450),"57,600",(360),"58,800",(430),,,,,,,,,,,,,,,
Hawaii ,"76,100","75,300","74,900","(1,540)","72,700","(1,090)","73,900",(940),"77,900","(1,300)","78,000","(1,130)","79,700","(1,120)","80,200","(1,230)",,,,,,,,,,,,,,,
Idaho ,"49,500","56,800","53,400",(660),"50,200",(710),"50,800",(820),"51,200",(700),"54,200",(610),"53,500",(540),"55,600",(560),,,,,,,,,,,,,,,
Illinois ,"63,200","70,400","64,800",(260),"61,100",(310),"61,000",(280),"63,200",(330),"63,800",(250),"64,500",(340),"65,000",(300),,,,,,,,,,,,,,,
Indiana ,"56,500","62,800","56,700",(390),"51,500",(320),"52,500",(310),"53,600",(250),"54,700",(240),"55,500",(410),"55,700",(320),,,,,,,,,,,,,,,
Iowa,"51,400","59,700","56,200",(410),"55,400",(450),"57,000",(490),"58,000",(510),"58,900",(440),"60,000",(530),"60,000",(530),,,,,,,,,,,,,,,
Kansas,"53,500","61,400","55,300",(570),"55,700",(610),"55,700",(460),"57,100",(560),"57,500",(570),"57,800",(440),"58,200",(470),,,,,,,,,,,,,,,
Kentucky ,"44,200","50,900","48,200",(380),"46,200",(350),"45,600",(450),"47,900",(300),"48,800",(380),"49,600",(390),"50,200",(340),,,,,,,,,,,,,,,
Louisiana ,"43,000","49,200","47,300",(450),"49,100",(500),"47,300",(480),"48,500",(430),"47,200",(490),"47,300",(390),"47,900",(450),,,,,,,,,,,,,,,
Maine,"54,600","56,300","55,200",(760),"52,900",(670),"52,500",(720),"54,600",(550),"55,500",(880),"57,600",(730),"55,600",(810),,,,,,,,,,,,,,,
Maryland ,"77,200","79,900","79,400",(470),"79,500",(650),"78,500",(560),"80,400",(380),"82,600",(470),"82,700",(440),"83,200",(620),,,,,,,,,,,,,,,
Massachusetts,"72,500","76,400","73,700",(540),"71,600",(290),"73,400",(620),"74,900",(400),"78,800",(490),"79,300",(560),"79,800",(590),,,,,,,,,,,,,,,
Michigan,"60,800","67,500","59,300",(350),"52,400",(210),"52,900",(250),"54,100",(160),"54,900",(260),"56,200",(270),"56,700",(250),,,,,,,,,,,,,,,
Minnesota,"60,600","71,200","67,100",(290),"64,000",(320),"65,300",(300),"67,300",(430),"68,600",(390),"70,100",(410),"70,300",(330),,,,,,,,,,,,,,,
Mississippi,"39,500","47,400","42,500",(480),"42,500",(450),"42,100",(500),"43,000",(350),"43,700",(350),"44,600",(530),"44,700",(480),,,,,,,,,,,,,,,
Missouri ,"51,700","57,400","54,100",(280),"51,100",(360),"51,300",(370),"53,200",(270),"54,100",(240),"55,000",(390),"54,500",(460),,,,,,,,,,,,,,,
Montana,"45,100","49,900","50,700",(760),"49,200",(790),"49,200",(790),"52,500",(910),"52,300",(700),"54,700",(890),"55,300",(710),,,,,,,,,,,,,,,
Nebraska ,"51,000","59,300","56,500",(600),"55,900",(630),"55,900",(440),"58,300",(530),"59,600",(490),"61,400",(630),"59,600",(650),,,,,,,,,,,,,,,
Nevada,"60,800","67,400","63,400",(700),"58,900",(560),"54,600",(440),"55,600",(630),"57,700",(570),"59,400",(590),"58,600",(690),,,,,,,,,,,,,,,
New Hampshire,"71,200","74,800","73,200",(780),"70,500",(800),"70,600",(840),"74,500",(810),"74,200",(900),"75,200","(1,050)","75,000",(950),,,,,,,,,,,,,,,
New Jersey,"80,200","83,400","79,500",(410),"78,100",(540),"76,400",(280),"76,500",(390),"79,700",(450),"82,000",(420),"81,700",(420),,,,,,,,,,,,,,,
New Mexico,"47,200","51,600","48,300",(590),"48,600",(510),"47,600",(550),"48,100",(560),"48,900",(530),"47,900",(740),"47,200",(550),,,,,,,,,,,,,,,
New York,"64,600","65,600","63,800",(330),"62,500",(260),"62,500",(250),"64,500",(200),"65,800",(400),"66,500",(320),"67,800",(390),,,,,,,,,,,,,,,
North Carolina,"52,200","59,200","52,500",(250),"50,000",(260),"49,400",(250),"50,700",(340),"52,900",(190),"54,000",(320),"53,900",(350),,,,,,,,,,,,,,,
North Dakota ,"45,500","52,300","52,900",(550),"56,200","(1,110)","62,700","(1,080)","64,200","(1,070)","63,500",(970),"63,400",(660),"63,800","(1,410)",,,,,,,,,,,,,,,
Ohio ,"56,300","61,900","56,100",(270),"52,000",(210),"52,400",(230),"54,100",(150),"54,800",(170),"55,300",(260),"56,100",(260),,,,,,,,,,,,,,,
Oklahoma ,"46,200","50,500","47,800",(440),"48,600",(290),"50,500",(290),"51,500",(330),"51,500",(400),"51,300",(360),"51,900",(270),,,,,,,,,,,,,,,
Oregon,"53,400","61,900","55,400",(460),"53,700",(380),"54,200",(320),"57,400",(590),"60,200",(540),"61,700",(500),"63,400",(640),,,,,,,,,,,,,,,
Pennsylvania,"57,000","60,600","57,400",(310),"56,900",(300),"56,500",(270),"59,000",(240),"59,500",(230),"60,600",(280),"60,900",(190),,,,,,,,,,,,,,,
Rhode Island ,"63,100","63,600","66,300","(1,080)","60,300",(870),"58,300",(960),"61,600","(1,560)","63,400","(1,010)","65,400","(1,160)","64,300",(260),,,,,,,,,,,,,,,
South Carolina,"51,500","56,100","50,700",(480),"48,500",(300),"48,000",(330),"50,100",(350),"51,800",(380),"51,800",(330),"52,300",(380),,,,,,,,,,,,,,,
South Dakota,"44,100","53,300","52,000",(700),"53,000",(850),"54,100",(660),"56,200",(710),"57,000",(820),"57,900",(820),"56,300",(880),,,,,,,,,,,,,,,
Tennessee,"48,600","55,000","50,100",(380),"47,900",(280),"47,100",(360),"50,100",(320),"50,800",(430),"52,600",(260),"52,400",(300),,,,,,,,,,,,,,,
Texas ,"53,000","60,400","54,300",(190),"56,100",(240),"56,300",(240),"59,000",(200),"59,200",(190),"60,600",(310),"60,600",(170),,,,,,,,,,,,,,,
Utah ,"57,800","69,100","61,800",(740),"63,200",(440),"64,700",(420),"66,700",(790),"69,000",(610),"70,000",(770),"71,400",(450),,,,,,,,,,,,,,,
Vermont ,"58,400","61,800","58,900",(940),"57,000","(1,040)","57,500","(1,110)","60,400",(850),"60,400","(1,060)","58,900","(1,300)","60,800",(940),,,,,,,,,,,,,,,
Virginia ,"65,300","70,600","69,900",(420),"70,000",(320),"68,900",(400),"70,200",(350),"71,300",(480),"73,300",(340),"72,600",(420),,,,,,,,,,,,,,,
Washington,"61,100","69,200","63,500",(500),"64,200",(390),"65,200",(310),"68,000",(510),"70,200",(380),"72,700",(360),"74,100",(420),,,,,,,,,,,,,,,
West Virginia,"40,800","44,900","43,100",(630),"44,100",(630),"43,600",(420),"44,500",(510),"45,400",(710),"44,500",(870),"44,100",(620),,,,,,,,,,,,,,,
Wisconsin ,"57,700","66,200","60,700",(310),"56,600",(350),"55,900",(280),"59,000",(280),"59,400",(350),"60,800",(370),"60,800",(240),,,,,,,,,,,,,,,
Wyoming ,"53,100","57,300","59,600","(1,190)","61,800","(1,330)","60,600","(1,280)","63,800","(1,020)","62,700","(1,410)","61,900","(1,100)","61,600",(850),,,,,,,,,,,,,,,